timestamp,action,file_id,operator,details
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0024,system,terms=2
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0024,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0025,system,source=00-setup/sample-data/mail-0025.eml; size=557
2026-03-08T22:24:44Z,PII_DETECT,mail-0025,system,emails=1; phones=2
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0025,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0025,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0019,system,source=00-setup/sample-data/mail-0019.eml; size=507
2026-03-08T22:24:44Z,PII_DETECT,mail-0019,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0019,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0019,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0030,system,source=00-setup/sample-data/mail-0030.json; size=591
2026-03-08T22:24:44Z,PII_DETECT,mail-0030,system,emails=1; phones=2
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0030,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0030,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0027,system,source=00-setup/sample-data/mail-0027.eml; size=407
2026-03-08T22:24:44Z,PII_DETECT,mail-0027,system,emails=1; phones=0
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0027,system,terms=2
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0027,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0026,system,source=00-setup/sample-data/mail-0026.eml; size=385
2026-03-08T22:24:44Z,PII_DETECT,mail-0026,system,emails=1; phones=0
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0026,system,terms=2
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0026,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0003,system,source=00-setup/sample-data/mail-0003.eml; size=392
2026-03-08T22:24:44Z,PII_DETECT,mail-0003,system,emails=1; phones=0
